timestamp,constellation,AGC,SNR,latitude,longitude,height,num_satellites
1725970911064.0,BeiDou,,39.333333333333336,,,,
1725970911064.0,GLONASS,59.924476623535156,37.833333333333336,,,,
1725970911064.0,GPS,39.776634216308594,37.36363636363637,,,,
1725970911065.0,BeiDou,,13.0,,,,
1725970912128.0,BeiDou,,32.6,,,,
1725970912128.0,GLONASS,60.381736755371094,37.833333333333336,,,,
1725970912128.0,GPS,37.883094787597656,36.92857142857143,,,,
1725970912128.0,Galileo,37.883094787597656,36.0,,,,
1725970913130.0,BeiDou,,38.166666666666664,,,,
1725970913130.0,GLONASS,61.12821960449219,38.0,,,,
1725970913130.0,GPS,41.4049186706543,37.57142857142857,,,,
1725970913130.0,Galileo,41.4049186706543,35.4,,,,
1725970914136.0,BeiDou,,32.76923076923077,,,,
1725970914136.0,GLONASS,60.49237823486328,38.0,,,,
1725970914136.0,GPS,36.29946517944336,37.785714285714285,,,,
1725970914136.0,Galileo,36.29946517944336,33.666666666666664,,,,
1725970915541.0,GLONASS,60.381736755371094,33.0,,,,
1725970915541.0,GPS,39.595672607421875,37.92857142857143,,,,
1725970915542.0,BeiDou,,36.166666666666664,,,,
1725970915542.0,Galileo,39.595672607421875,35.6875,,,,
1725970916541.0,BeiDou,,36.857142857142854,,,,
1725970916541.0,GLONASS,59.924476623535156,33.0,,,,
1725970916541.0,GPS,41.02555847167969,37.92857142857143,,,,
1725970916541.0,Galileo,41.02555847167969,35.6875,,,,
1725970917542.0,GPS,41.979400634765625,40.0,,,,
1725970917543.0,BeiDou,,36.0625,,,,
1725970917543.0,GLONASS,61.12821960449219,33.0,,,,
1725970917543.0,GPS,41.979400634765625,37.2,,,,
1725970917543.0,Galileo,41.979400634765625,37.666666666666664,,,,
1725970917544.0,Galileo,41.979400634765625,34.333333333333336,,,,
1725970918546.0,GPS,40.127628326416016,38.0,,,,
1725970918547.0,BeiDou,,36.05882352941177,,,,
1725970918547.0,GLONASS,58.31734085083008,33.5,,,,
1725970918547.0,Galileo,40.127628326416016,37.0,,,,
1725970919532.0,BeiDou,,35.75,,,,
1725970919532.0,GLONASS,58.45743942260742,33.5,,,,
1725970919532.0,GPS,37.657474517822266,38.0,,,,
1725970919533.0,BeiDou,,37.666666666666664,,,,
1725970919533.0,Galileo,37.657474517822266,37.0,,,,
1725970920530.0,BeiDou,,37.23529411764706,,,,
1725970920530.0,GLONASS,60.381736755371094,33.0,,,,
1725970920530.0,GPS,37.42583465576172,38.0,,,,
1725970920531.0,Galileo,37.42583465576172,36.93333333333333,,,,
1725970921537.0,BeiDou,,37.411764705882355,,,,
1725970921537.0,GLONASS,59.06133270263672,33.0,,,,
1725970921537.0,GPS,37.657474517822266,37.92857142857143,,,,
1725970921537.0,Galileo,37.657474517822266,36.86666666666667,,,,
1725970922535.0,BeiDou,,37.411764705882355,,,,
1725970922535.0,GLONASS,59.19001770019531,33.0,,,,
1725970922535.0,GPS,38.83158493041992,37.857142857142854,,,,
1725970922535.0,Galileo,38.83158493041992,36.733333333333334,,,,
1725970923539.0,BeiDou,,36.3,,,,
1725970923539.0,GLONASS,59.924476623535156,33.0,,,,
1725970923539.0,GPS,37.42583465576172,37.714285714285715,,,,
1725970923540.0,BeiDou,,38.57142857142857,,,,
1725970923540.0,Galileo,37.42583465576172,36.666666666666664,,,,
1725970924524.0,BeiDou,,37.23529411764706,,,,
1725970924524.0,GLONASS,57.73319625854492,32.5,,,,
1725970924524.0,GPS,38.210899353027344,37.57142857142857,,,,
1725970924524.0,Galileo,38.210899353027344,36.666666666666664,,,,
1725970925538.0,BeiDou,,37.1764705882353,,,,
1725970925538.0,GLONASS,62.09431457519531,33.0,,,,
1725970925538.0,GPS,40.70967483520508,37.5,,,,
1725970925538.0,Galileo,40.70967483520508,36.916666666666664,,,,
1725970925539.0,Galileo,40.70967483520508,35.0,,,,
1725970926532.0,BeiDou,,37.23529411764706,,,,
1725970926532.0,GLONASS,58.10286331176758,33.0,,,,
1725970926532.0,GPS,37.993743896484375,37.57142857142857,,,,
1725970926532.0,Galileo,37.993743896484375,36.6,,,,
1725970927534.0,GLONASS,60.381736755371094,33.0,,,,
1725970927534.0,GPS,41.83930206298828,37.42857142857143,,,,
1725970927535.0,BeiDou,,37.294117647058826,,,,
1725970927535.0,Galileo,41.83930206298828,36.53333333333333,,,,
1725970928548.0,GPS,37.883094787597656,39.25,69.212355629,15.858570977,59.9833,13.0
1725970928549.0,BeiDou,,37.294117647058826,69.212355629,15.858570977,59.9833,13.0
1725970928549.0,GLONASS,61.33022689819336,33.0,69.212355629,15.858570977,59.9833,13.0
1725970928549.0,GPS,37.883094787597656,36.7,69.212355629,15.858570977,59.9833,13.0
1725970928549.0,Galileo,37.883094787597656,36.53333333333333,69.212355629,15.858570977,59.9833,13.0
1725970929542.0,BeiDou,,36.0,69.212355629,15.858570977,59.9833,13.0
1725970929542.0,GLONASS,58.7981071472168,33.5,69.212355629,15.858570977,59.9833,13.0
1725970929542.0,GPS,41.02555847167969,37.42857142857143,69.212355629,15.858570977,59.9833,13.0
1725970929543.0,BeiDou,,38.55555555555556,69.212355629,15.858570977,59.9833,13.0
1725970929543.0,Galileo,41.02555847167969,36.46666666666667,69.212355629,15.858570977,59.9833,13.0
1725970930537.0,GPS,39.22203063964844,38.5,69.212319905,15.858632589,56.3828,16.0
1725970930538.0,BeiDou,,37.0,69.212319905,15.858632589,56.3828,16.0
1725970930538.0,GLONASS,61.720664978027344,33.5,69.212319905,15.858632589,56.3828,16.0
1725970930538.0,GPS,39.22203063964844,36.166666666666664,69.212319905,15.858632589,56.3828,16.0
1725970930539.0,BeiDou,,38.0,69.212319905,15.858632589,56.3828,16.0
1725970930539.0,Galileo,39.22203063964844,36.46666666666667,69.212319905,15.858632589,56.3828,16.0
1725970931557.0,BeiDou,,36.3,69.212358564,15.858633874,54.008,16.0
1725970931557.0,GLONASS,60.15611267089844,33.5,69.212358564,15.858633874,54.008,16.0
1725970931557.0,GPS,40.70967483520508,37.42857142857143,69.212358564,15.858633874,54.008,16.0
1725970931558.0,BeiDou,,38.285714285714285,69.212358564,15.858633874,54.008,16.0
1725970931558.0,Galileo,40.70967483520508,36.266666666666666,69.212358564,15.858633874,54.008,16.0
1725970932555.0,GPS,39.776634216308594,37.76923076923077,69.212328355,15.858610492,51.8015,17.0
1725970932556.0,BeiDou,,37.23529411764706,69.212328355,15.858610492,51.8015,17.0
1725970932556.0,GLONASS,59.06133270263672,33.5,69.212328355,15.858610492,51.8015,17.0
1725970932556.0,GPS,39.776634216308594,37.0,69.212328355,15.858610492,51.8015,17.0
